Kirjauspäivä;Selite;Summa;Viitenumero
30.12.2023;Helen Oy Sahko;-118,73;
23.02.2023;Hoitovastike 100052;175,00;100052
04.08.2023;Hoitovastike 100010;250,00;100010
16.07.2023;Hoitovastike 100052;175,00;100052
12.07.2023;Hoitovastike 100010;250,00;100010
25.08.2023;Isannointitoimisto Paakirja Oy;-850,00;
26.08.2023;DNA Oyj Laajakaista;-120,00;
31.12.2023;Hoitovastike 100010;250,00;100010
08.10.2023;Hoitovastike 100052;175,00;100052
11.06.2023;Helen Oy Sahko;-329,40;
25.01.2023;Hoitovastike 100049;150,00;100049
07.05.2023;HSY VESI JA VIEMARI;-220,78;
06.02.2023;Hoitovastike 100036;210,00;100036
11.02.2023;Kone Hissihuolto;-329,92;
21.07.2023;Helen Oy Sahko;-376,15;
05.09.2023;Hoitovastike 100052;175,00;100052
15.02.2023;Hoitovastike 100010;250,00;100010
29.11.2023;Hoitovastike 100010;250,00;100010
15.03.2023;Pääkirja Taloushallinto;-397,33;
30.05.2023;Hoitovastike 100049;150,00;100049
10.07.2023;Pääkirja Taloushallinto;-429,78;
11.10.2023;Hoitovastike 100023;180,00;100023
28.05.2023;Hoitovastike 100049;150,00;100049
26.07.2023;Isannointitoimisto Paakirja Oy;-850,00;
02.04.2023;Hoitovastike 100052;175,00;100052
19.04.2023;Hoitovastike 100023;180,00;100023
12.03.2023;K-Rauta rautakauppa;-105,57;
10.10.2023;Hoitovastike 100036;210,00;100036
29.05.2023;Pääkirja Taloushallinto;-454,98;
12.09.2023;Hoitovastike 100023;180,00;100023
29.01.2023;Hoitovastike 100036;210,00;100036
04.04.2023;Hoitovastike 100036;210,00;100036
02.11.2023;Pääkirja Taloushallinto;-415,77;
29.06.2023;Hoitovastike 100052;175,00;100052
02.08.2023;DNA Oyj Laajakaista;-120,00;
22.02.2023;Hoitovastike 100036;210,00;100036
16.04.2023;Hoitovastike 100036;210,00;100036
23.05.2023;Hoitovastike 100052;175,00;100052
02.10.2023;Hoitovastike 100036;210,00;100036
02.08.2023;Pankin Palvelumaksu;-12,50;
17.09.2023;Hoitovastike 100049;150,00;100049
14.11.2023;LASSILA & TIKANOJA SIIVOUS OY;-372,20;
25.06.2023;Hoitovastike 100010;250,00;100010
16.08.2023;Isannointitoimisto Paakirja Oy;-850,00;
11.04.2023;Hoitovastike 100036;210,00;100036
25.02.2023;Hoitovastike 100010;250,00;100010
13.12.2023;Hoitovastike 100023;180,00;100023
24.08.2023;FORTUM OYJ SAHKOLASKU;-617,95;
04.06.2023;Pankin Palvelumaksu;-12,50;
02.06.2023;Verohallinto Kiinteistovero;-1862,94;
18.01.2023;Hoitovastike 100049;150,00;100049
24.05.2023;Hoitovastike 100023;180,00;100023
29.06.2023;Hoitovastike 100010;250,00;100010
26.02.2023;Hoitovastike 100023;180,00;100023
17.10.2023;Hoitovastike 100023;180,00;100023
05.03.2023;LASSILA & TIKANOJA SIIVOUS OY;-298,13;
18.11.2023;Kone Hissihuolto;-218,98;
08.12.2023;Hoitovastike 100023;180,00;100023
17.12.2023;FORTUM OYJ SAHKOLASKU;-217,67;
16.03.2023;Hoitovastike 100052;175,00;100052
12.12.2023;Pankin Palvelumaksu;-12,50;
16.01.2023;Hoitovastike 100036;210,00;100036
24.04.2023;Hoitovastike 100049;150,00;100049
13.05.2023;Helen Oy Sahko;-170,98;
29.11.2023;Hoitovastike 100052;175,00;100052
03.02.2023;FORTUM OYJ SAHKOLASKU;-467,39;
25.01.2023;Hoitovastike 100023;180,00;100023
09.08.2023;Hoitovastike 100036;210,00;100036
06.05.2023;Hoitovastike 100049;150,00;100049
14.11.2023;Hoitovastike 100010;250,00;100010
18.10.2023;Hoitovastike 100023;180,00;100023
25.08.2023;Hoitovastike 100052;175,00;100052
26.10.2023;Hoitovastike 100049;150,00;100049
10.01.2023;Hoitovastike 100036;210,00;100036
10.10.2023;FORTUM OYJ SAHKOLASKU;-784,06;
28.05.2023;Hoitovastike 100010;250,00;100010
08.01.2023;LASSILA & TIKANOJA SIIVOUS OY;-343,28;
04.08.2023;Kone Hissihuolto;-388,41;
14.09.2023;DNA Oyj Laajakaista;-120,00;
17.08.2023;Hoitovastike 100052;175,00;100052
17.05.2023;Hoitovastike 100010;250,00;100010
27.05.2023;Hoitovastike 100049;150,00;100049
30.08.2023;Hoitovastike 100052;175,00;100052
06.05.2023;Hoitovastike 100036;210,00;100036
01.01.2023;Pankin Palvelumaksu;-12,50;
05.04.2023;Hoitovastike 100052;175,00;100052
09.03.2023;S-Rauta Maalia ja tarvikkeita;-73,33;
11.10.2023;Hoitovastike 100052;175,00;100052
09.03.2023;Hoitovastike 100049;150,00;100049
19.04.2023;Hoitovastike 100010;250,00;100010
22.12.2023;LASSILA & TIKANOJA SIIVOUS OY;-211,35;
31.03.2023;Pankin Palvelumaksu;-12,50;
27.04.2023;Isannointitoimisto Paakirja Oy;-850,00;
20.07.2023;Hoitovastike 100049;150,00;100049
04.07.2023;Hoitovastike 100023;180,00;100023
27.09.2023;K-Rauta rautakauppa;-167,05;
19.01.2023;LASSILA & TIKANOJA SIIVOUS OY;-264,61;
12.10.2023;FORTUM OYJ SAHKOLASKU;-290,58;
27.05.2023;Hoitovastike 100023;180,00;100023
01.10.2023;Hoitovastike 100010;250,00;100010
10.06.2023;Hoitovastike 100049;150,00;100049
05.04.2023;Hoitovastike 100010;250,00;100010
13.01.2023;Pääkirja Taloushallinto;-416,35;
08.05.2023;Hoitovastike 100049;150,00;100049
21.12.2023;Hoitovastike 100023;180,00;100023
19.07.2023;Hoitovastike 100052;175,00;100052
08.02.2023;Hoitovastike 100052;175,00;100052
26.01.2023;FORTUM OYJ SAHKOLASKU;-796,33;
28.05.2023;Hoitovastike 100049;150,00;100049
31.10.2023;Hoitovastike 100023;180,00;100023
16.04.2023;LASSILA & TIKANOJA SIIVOUS OY;-288,63;
15.08.2023;Isannointitoimisto Paakirja Oy;-850,00;
24.11.2023;Hoitovastike 100049;150,00;100049
21.01.2023;Pankin Palvelumaksu;-12,50;
06.09.2023;Hoitovastike 100036;210,00;100036
22.12.2023;Hoitovastike 100052;175,00;100052
18.12.2023;Hoitovastike 100049;150,00;100049
27.01.2023;Hoitovastike 100049;150,00;100049
05.11.2023;S-Rauta Maalia ja tarvikkeita;-56,90;
23.06.2023;Hoitovastike 100036;210,00;100036
31.05.2023;Hoitovastike 100010;250,00;100010
04.09.2023;Hoitovastike 100052;175,00;100052
27.01.2023;Hoitovastike 100052;175,00;100052
27.04.2023;DNA Oyj Laajakaista;-120,00;
03.06.2023;S-Rauta Maalia ja tarvikkeita;-81,20;
07.05.2023;S-Rauta Maalia ja tarvikkeita;-58,98;
20.06.2023;S-Rauta Maalia ja tarvikkeita;-76,04;
29.03.2023;Hoitovastike 100023;180,00;100023
13.08.2023;Hoitovastike 100010;250,00;100010
01.06.2023;Hoitovastike 100010;250,00;100010
20.05.2023;Pääkirja Taloushallinto;-403,00;
13.09.2023;Hoitovastike 100010;250,00;100010
17.04.2023;Hoitovastike 100049;150,00;100049
06.10.2023;Hoitovastike 100010;250,00;100010
24.02.2023;Hoitovastike 100049;150,00;100049
11.09.2023;S-Rauta Maalia ja tarvikkeita;-61,04;
30.09.2023;Pääkirja Taloushallinto;-481,01;
08.06.2023;Hoitovastike 100052;175,00;100052
10.04.2023;Helen Oy Sahko;-437,05;
21.03.2023;Hoitovastike 100023;180,00;100023
19.04.2023;Hoitovastike 100010;250,00;100010
18.06.2023;Hoitovastike 100023;180,00;100023
09.01.2023;Hoitovastike 100023;180,00;100023
25.02.2023;K-Rauta rautakauppa;-146,64;
17.08.2023;Hoitovastike 100023;180,00;100023
08.03.2023;K-Rauta rautakauppa;-79,69;
25.10.2023;Hoitovastike 100049;150,00;100049
06.04.2023;Hoitovastike 100049;150,00;100049
10.07.2023;Pankin Palvelumaksu;-12,50;
27.10.2023;Hoitovastike 100010;250,00;100010
13.02.2023;Isannointitoimisto Paakirja Oy;-850,00;
26.12.2023;FORTUM OYJ SAHKOLASKU;-253,09;
05.07.2023;Pääkirja Taloushallinto;-441,76;
18.01.2023;Hoitovastike 100023;180,00;100023
03.11.2023;LASSILA & TIKANOJA SIIVOUS OY;-256,95;
15.12.2023;Pankin Palvelumaksu;-12,50;
27.05.2023;Kone Hissihuolto;-299,01;
07.03.2023;Hoitovastike 100023;180,00;100023
10.01.2023;Hoitovastike 100049;150,00;100049
20.01.2023;Hoitovastike 100010;250,00;100010
16.05.2023;DNA Oyj Laajakaista;-120,00;
30.03.2023;Hoitovastike 100049;150,00;100049
31.03.2023;FORTUM OYJ SAHKOLASKU;-302,02;
10.06.2023;Hoitovastike 100023;180,00;100023
01.06.2023;Hoitovastike 100010;250,00;100010
13.07.2023;Hoitovastike 100010;250,00;100010
30.04.2023;Pankin Palvelumaksu;-12,50;
16.01.2023;Hoitovastike 100023;180,00;100023
20.06.2023;S-Rauta Maalia ja tarvikkeita;-64,48;
17.11.2023;S-Rauta Maalia ja tarvikkeita;-59,60;
14.12.2023;Hoitovastike 100052;175,00;100052
21.10.2023;Pankin Palvelumaksu;-12,50;
10.06.2023;Kone Hissihuolto;-277,84;
12.11.2023;Verohallinto Kiinteistovero;-1204,14;
16.12.2023;Verohallinto Kiinteistovero;-1883,26;
17.01.2023;Hoitovastike 100023;180,00;100023
15.02.2023;Hoitovastike 100010;250,00;100010
21.09.2023;Pankin Palvelumaksu;-12,50;
30.08.2023;Isannointitoimisto Paakirja Oy;-850,00;
08.04.2023;FORTUM OYJ SAHKOLASKU;-677,00;
19.06.2023;Hoitovastike 100010;250,00;100010
30.12.2023;LASSILA & TIKANOJA SIIVOUS OY;-215,12;
02.11.2023;K-Rauta rautakauppa;-91,94;
20.04.2023;Hoitovastike 100052;175,00;100052
09.05.2023;Hoitovastike 100049;150,00;100049
04.11.2023;Hoitovastike 100049;150,00;100049
03.09.2023;Pääkirja Taloushallinto;-317,22;
27.07.2023;Hoitovastike 100010;250,00;100010
20.02.2023;Pankin Palvelumaksu;-12,50;
03.07.2023;Isannointitoimisto Paakirja Oy;-850,00;
17.12.2023;Isannointitoimisto Paakirja Oy;-850,00;
11.10.2023;Hoitovastike 100023;180,00;100023
21.03.2023;LASSILA & TIKANOJA SIIVOUS OY;-379,70;
16.06.2023;FORTUM OYJ SAHKOLASKU;-370,63;
26.09.2023;Hoitovastike 100052;175,00;100052
03.04.2023;Hoitovastike 100036;210,00;100036
07.08.2023;Hoitovastike 100023;180,00;100023
20.08.2023;Pääkirja Taloushallinto;-490,11;
02.05.2023;DNA Oyj Laajakaista;-120,00;
09.07.2023;Hoitovastike 100049;150,00;100049
20.11.2023;Hoitovastike 100049;150,00;100049
31.03.2023;Hoitovastike 100010;250,00;100010
08.10.2023;LASSILA & TIKANOJA SIIVOUS OY;-205,15;
14.12.2023;Isannointitoimisto Paakirja Oy;-850,00;
13.01.2023;Hoitovastike 100036;210,00;100036
28.10.2023;Hoitovastike 100023;180,00;100023
23.12.2023;Verohallinto Kiinteistovero;-2449,64;
12.04.2023;Hoitovastike 100023;180,00;100023
08.07.2023;Hoitovastike 100036;210,00;100036
13.09.2023;Hoitovastike 100036;210,00;100036
11.10.2023;Hoitovastike 100023;180,00;100023
13.01.2023;DNA Oyj Laajakaista;-120,00;
23.12.2023;Helen Oy Sahko;-130,27;
25.01.2023;Hoitovastike 100049;150,00;100049
23.11.2023;HSY VESI JA VIEMARI;-232,78;
27.05.2023;S-Rauta Maalia ja tarvikkeita;-87,77;
13.10.2023;S-Rauta Maalia ja tarvikkeita;-50,52;
27.09.2023;Hoitovastike 100052;175,00;100052
28.03.2023;Hoitovastike 100049;150,00;100049
14.07.2023;Isannointitoimisto Paakirja Oy;-850,00;
22.01.2023;Hoitovastike 100023;180,00;100023
17.08.2023;Hoitovastike 100049;150,00;100049
19.02.2023;Hoitovastike 100010;250,00;100010
05.11.2023;Hoitovastike 100052;175,00;100052
31.12.2023;Helen Oy Sahko;-125,79;
24.04.2023;Hoitovastike 100010;250,00;100010
31.03.2023;Hoitovastike 100010;250,00;100010
26.01.2023;Hoitovastike 100023;180,00;100023
19.07.2023;LASSILA & TIKANOJA SIIVOUS OY;-394,72;
03.06.2023;Hoitovastike 100010;250,00;100010
17.11.2023;Hoitovastike 100052;175,00;100052
27.03.2023;K-Rauta rautakauppa;-161,87;
18.02.2023;Hoitovastike 100049;150,00;100049
29.11.2023;Verohallinto Kiinteistovero;-2121,39;
28.12.2023;Hoitovastike 100010;250,00;100010
12.04.2023;Hoitovastike 100052;175,00;100052
07.05.2023;HSY VESI JA VIEMARI;-244,47;
28.10.2023;HSY VESI JA VIEMARI;-169,31;
16.05.2023;Hoitovastike 100023;180,00;100023
05.04.2023;Hoitovastike 100036;210,00;100036
07.09.2023;S-Rauta Maalia ja tarvikkeita;-22,62;
07.02.2023;Hoitovastike 100049;150,00;100049
22.01.2023;Verohallinto Kiinteistovero;-1458,85;
25.01.2023;Hoitovastike 100036;210,00;100036
04.09.2023;Hoitovastike 100023;180,00;100023
01.01.2024;K-Rauta rautakauppa;-116,59;
02.01.2023;Hoitovastike 100049;150,00;100049
02.03.2023;Hoitovastike 100049;150,00;100049
20.11.2023;Hoitovastike 100023;180,00;100023
06.02.2023;LASSILA & TIKANOJA SIIVOUS OY;-299,33;
14.12.2023;Hoitovastike 100049;150,00;100049
17.02.2023;FORTUM OYJ SAHKOLASKU;-381,33;
08.12.2023;Hoitovastike 100052;175,00;100052
04.06.2023;Hoitovastike 100010;250,00;100010
20.09.2023;Isannointitoimisto Paakirja Oy;-850,00;
27.11.2023;Hoitovastike 100010;250,00;100010
15.01.2023;Hoitovastike 100010;250,00;100010
07.09.2023;Hoitovastike 100052;175,00;100052
13.07.2023;K-Rauta rautakauppa;-166,93;
12.07.2023;DNA Oyj Laajakaista;-120,00;
20.03.2023;Hoitovastike 100010;250,00;100010
12.10.2023;Hoitovastike 100023;180,00;100023
16.09.2023;Hoitovastike 100023;180,00;100023
24.01.2023;Hoitovastike 100052;175,00;100052
09.05.2023;Helen Oy Sahko;-207,48;
23.12.2023;Hoitovastike 100010;250,00;100010
11.08.2023;Hoitovastike 100036;210,00;100036
15.08.2023;Hoitovastike 100023;180,00;100023
22.02.2023;Hoitovastike 100052;175,00;100052
24.11.2023;Hoitovastike 100023;180,00;100023
18.04.2023;Hoitovastike 100049;150,00;100049
26.06.2023;DNA Oyj Laajakaista;-120,00;
28.05.2023;Hoitovastike 100049;150,00;100049
07.03.2023;Kone Hissihuolto;-325,44;
18.08.2023;Hoitovastike 100010;250,00;100010
29.07.2023;Hoitovastike 100049;150,00;100049
06.12.2023;DNA Oyj Laajakaista;-120,00;
21.05.2023;Hoitovastike 100049;150,00;100049
13.02.2023;Hoitovastike 100010;250,00;100010
22.12.2023;Hoitovastike 100010;250,00;100010
19.01.2023;S-Rauta Maalia ja tarvikkeita;-92,87;
02.05.2023;Hoitovastike 100052;175,00;100052
30.07.2023;Hoitovastike 100052;175,00;100052
21.04.2023;Hoitovastike 100023;180,00;100023
20.02.2023;Hoitovastike 100036;210,00;100036
31.07.2023;Pankin Palvelumaksu;-12,50;
19.04.2023;Kone Hissihuolto;-355,30;
17.06.2023;Pankin Palvelumaksu;-12,50;
23.04.2023;Kone Hissihuolto;-352,99;
13.10.2023;Pääkirja Taloushallinto;-433,94;
25.04.2023;Hoitovastike 100023;180,00;100023
06.10.2023;Hoitovastike 100036;210,00;100036
05.06.2023;Kone Hissihuolto;-242,86;
26.08.2023;Hoitovastike 100036;210,00;100036
13.05.2023;K-Rauta rautakauppa;-49,04;
06.09.2023;Hoitovastike 100010;250,00;100010
25.12.2023;K-Rauta rautakauppa;-49,85;
30.04.2023;Hoitovastike 100049;150,00;100049
02.12.2023;Hoitovastike 100010;250,00;100010
25.10.2023;Hoitovastike 100036;210,00;100036
26.10.2023;Kone Hissihuolto;-379,12;
28.04.2023;Isannointitoimisto Paakirja Oy;-850,00;
04.10.2023;K-Rauta rautakauppa;-70,61;
10.06.2023;HSY VESI JA VIEMARI;-118,03;
13.04.2023;Hoitovastike 100010;250,00;100010
24.07.2023;Hoitovastike 100010;250,00;100010
27.10.2023;Pankin Palvelumaksu;-12,50;
03.06.2023;Hoitovastike 100036;210,00;100036
24.09.2023;Hoitovastike 100036;210,00;100036
08.08.2023;Hoitovastike 100010;250,00;100010
10.12.2023;Hoitovastike 100036;210,00;100036
08.04.2023;LASSILA & TIKANOJA SIIVOUS OY;-362,40;
02.05.2023;Hoitovastike 100049;150,00;100049
23.12.2023;Hoitovastike 100049;150,00;100049
20.07.2023;Hoitovastike 100049;150,00;100049
17.06.2023;Hoitovastike 100010;250,00;100010
10.03.2023;Kone Hissihuolto;-203,89;
04.07.2023;Hoitovastike 100036;210,00;100036
14.01.2023;Isannointitoimisto Paakirja Oy;-850,00;
10.06.2023;Hoitovastike 100036;210,00;100036
02.05.2023;Kone Hissihuolto;-397,01;
06.09.2023;Hoitovastike 100023;180,00;100023
13.02.2023;Pankin Palvelumaksu;-12,50;
20.11.2023;Hoitovastike 100052;175,00;100052
16.09.2023;S-Rauta Maalia ja tarvikkeita;-85,80;
05.08.2023;Hoitovastike 100023;180,00;100023
31.08.2023;FORTUM OYJ SAHKOLASKU;-768,62;
17.10.2023;Hoitovastike 100052;175,00;100052
14.08.2023;Hoitovastike 100052;175,00;100052
17.12.2023;Hoitovastike 100052;175,00;100052
10.10.2023;Hoitovastike 100010;250,00;100010
19.11.2023;FORTUM OYJ SAHKOLASKU;-731,54;
08.08.2023;S-Rauta Maalia ja tarvikkeita;-54,42;
22.05.2023;Hoitovastike 100036;210,00;100036
21.05.2023;Pääkirja Taloushallinto;-425,48;
30.01.2023;Hoitovastike 100052;175,00;100052
11.01.2023;DNA Oyj Laajakaista;-120,00;
14.10.2023;Hoitovastike 100049;150,00;100049
24.11.2023;Hoitovastike 100023;180,00;100023
13.12.2023;Hoitovastike 100010;250,00;100010
20.07.2023;Hoitovastike 100052;175,00;100052
23.08.2023;FORTUM OYJ SAHKOLASKU;-530,42;
31.10.2023;Verohallinto Kiinteistovero;-1687,35;
12.04.2023;Pääkirja Taloushallinto;-373,50;
27.08.2023;Hoitovastike 100049;150,00;100049
27.12.2023;Hoitovastike 100023;180,00;100023
21.05.2023;Hoitovastike 100052;175,00;100052
30.11.2023;K-Rauta rautakauppa;-38,35;
17.11.2023;Hoitovastike 100052;175,00;100052
17.01.2023;Hoitovastike 100023;180,00;100023
04.05.2023;Hoitovastike 100010;250,00;100010
04.01.2023;Hoitovastike 100052;175,00;100052
19.06.2023;Helen Oy Sahko;-281,67;
27.08.2023;Hoitovastike 100036;210,00;100036
21.04.2023;HSY VESI JA VIEMARI;-140,96;
06.06.2023;Pankin Palvelumaksu;-12,50;
07.08.2023;Hoitovastike 100052;175,00;100052
30.04.2023;Hoitovastike 100010;250,00;100010
24.08.2023;Hoitovastike 100036;210,00;100036
26.07.2023;Hoitovastike 100049;150,00;100049
23.08.2023;Hoitovastike 100049;150,00;100049
09.01.2023;Hoitovastike 100010;250,00;100010
19.08.2023;Hoitovastike 100023;180,00;100023
05.10.2023;Hoitovastike 100052;175,00;100052
30.01.2023;K-Rauta rautakauppa;-57,06;
23.05.2023;Hoitovastike 100010;250,00;100010
21.09.2023;K-Rauta rautakauppa;-101,95;
15.07.2023;Hoitovastike 100049;150,00;100049
14.03.2023;Pääkirja Taloushallinto;-354,96;
04.10.2023;Hoitovastike 100052;175,00;100052
05.05.2023;Hoitovastike 100010;250,00;100010
04.02.2023;Hoitovastike 100049;150,00;100049
27.10.2023;Pääkirja Taloushallinto;-312,52;
02.12.2023;FORTUM OYJ SAHKOLASKU;-616,99;
24.12.2023;Hoitovastike 100052;175,00;100052
23.07.2023;Hoitovastike 100023;180,00;100023
26.05.2023;K-Rauta rautakauppa;-91,91;
31.07.2023;Hoitovastike 100049;150,00;100049
04.08.2023;Pankin Palvelumaksu;-12,50;
06.05.2023;Hoitovastike 100049;150,00;100049
23.02.2023;Hoitovastike 100010;250,00;100010
23.12.2023;LASSILA & TIKANOJA SIIVOUS OY;-215,89;
05.04.2023;Hoitovastike 100010;250,00;100010
03.02.2023;Hoitovastike 100049;150,00;100049
24.05.2023;Helen Oy Sahko;-181,84;
03.04.2023;Hoitovastike 100049;150,00;100049
17.05.2023;Helen Oy Sahko;-490,70;
20.06.2023;Hoitovastike 100052;175,00;100052
11.12.2023;Kone Hissihuolto;-333,13;
23.04.2023;Hoitovastike 100036;210,00;100036
02.03.2023;Hoitovastike 100049;150,00;100049
19.02.2023;Hoitovastike 100010;250,00;100010
20.03.2023;HSY VESI JA VIEMARI;-120,34;
07.08.2023;Hoitovastike 100023;180,00;100023
07.07.2023;Hoitovastike 100036;210,00;100036
10.07.2023;Hoitovastike 100036;210,00;100036
03.12.2023;Kone Hissihuolto;-353,35;
19.05.2023;Verohallinto Kiinteistovero;-1710,56;
14.08.2023;Hoitovastike 100036;210,00;100036
19.09.2023;Hoitovastike 100049;150,00;100049
25.10.2023;Hoitovastike 100036;210,00;100036
05.05.2023;Hoitovastike 100036;210,00;100036
25.12.2023;Hoitovastike 100049;150,00;100049
13.08.2023;Pankin Palvelumaksu;-12,50;
24.07.2023;DNA Oyj Laajakaista;-120,00;
29.10.2023;Hoitovastike 100052;175,00;100052
01.03.2023;DNA Oyj Laajakaista;-120,00;
31.05.2023;Hoitovastike 100052;175,00;100052
12.10.2023;HSY VESI JA VIEMARI;-158,41;
18.03.2023;HSY VESI JA VIEMARI;-128,81;
25.06.2023;Hoitovastike 100010;250,00;100010
14.02.2023;Hoitovastike 100010;250,00;100010
24.06.2023;Hoitovastike 100052;175,00;100052
08.08.2023;Hoitovastike 100010;250,00;100010
14.08.2023;Hoitovastike 100049;150,00;100049
07.02.2023;Hoitovastike 100052;175,00;100052
08.07.2023;FORTUM OYJ SAHKOLASKU;-762,62;
21.04.2023;Hoitovastike 100052;175,00;100052
08.11.2023;Hoitovastike 100049;150,00;100049
18.04.2023;Hoitovastike 100023;180,00;100023
24.06.2023;Hoitovastike 100023;180,00;100023
21.05.2023;Hoitovastike 100010;250,00;100010
05.02.2023;Hoitovastike 100023;180,00;100023
10.08.2023;Verohallinto Kiinteistovero;-2228,84;
02.12.2023;Hoitovastike 100049;150,00;100049
26.05.2023;FORTUM OYJ SAHKOLASKU;-573,75;
08.08.2023;Hoitovastike 100010;250,00;100010
16.03.2023;Hoitovastike 100052;175,00;100052
19.10.2023;Isannointitoimisto Paakirja Oy;-850,00;
04.02.2023;Hoitovastike 100023;180,00;100023
16.03.2023;Hoitovastike 100010;250,00;100010
08.08.2023;Hoitovastike 100010;250,00;100010
28.06.2023;Hoitovastike 100049;150,00;100049
08.02.2023;Hoitovastike 100049;150,00;100049
24.08.2023;Hoitovastike 100010;250,00;100010
11.01.2023;Pääkirja Taloushallinto;-481,85;
10.11.2023;Kone Hissihuolto;-375,71;
01.03.2023;LASSILA & TIKANOJA SIIVOUS OY;-224,16;
21.09.2023;Hoitovastike 100036;210,00;100036
03.09.2023;K-Rauta rautakauppa;-39,70;
26.11.2023;Hoitovastike 100049;150,00;100049
07.09.2023;HSY VESI JA VIEMARI;-133,97;
25.03.2023;Hoitovastike 100036;210,00;100036
21.05.2023;Hoitovastike 100023;180,00;100023
13.04.2023;Pankin Palvelumaksu;-12,50;
09.03.2023;DNA Oyj Laajakaista;-120,00;
01.04.2023;Hoitovastike 100049;150,00;100049
25.11.2023;DNA Oyj Laajakaista;-120,00;
07.02.2023;Hoitovastike 100052;175,00;100052
09.01.2023;Hoitovastike 100010;250,00;100010
02.04.2023;Hoitovastike 100023;180,00;100023
07.03.2023;Hoitovastike 100049;150,00;100049
28.11.2023;HSY VESI JA VIEMARI;-187,98;
28.09.2023;Pankin Palvelumaksu;-12,50;
